borrower_id,gender,age,education_level,immigration_status,marital_status,dependents,industry_sector,employment_status,annual_income,income_decile,years_with_current_employer,total_years_employment,income_type,assets,total_liabilities,net_worth,liquid_assets,number_of_open_loans,total_value_of_open_loans,delinquencies_past_12mo,credit_score,credit_utilization,property_value,mortgage_amount,loan_to_value,monthly_payment,interest_rate,term_years,mortgage_start_year,risk_category,cluster_id,after_stress_risk_category
B02254,Female,28,College or CEGEP certificate or diploma,Canadian-born,Single,0,Finance,Employed,131900.29,10,5,21,Hourly,297000,120592.16,176407.84,119958.49,0,0,0,670,22.17,776132,723034,93.16,2676.32,2.69,25,2020,,,
B02255,Female,28,Master's degree,Long-term immigrant,Single,2,Retail,Employed,85130.56,9,3,10,Salaried,275000,200351.51,74648.49,116413.45,3,217482.14,0,742,21.54,813615,753912,92.66,2193.79,5.21,25,2014,,,
B02256,Female,25,Bachelor's degree,Recent immigrant,Single,0,Education,Employed,82433.32,9,1,1,Salaried,305000,210238.41,94761.59,149251.29,2,213302.54,0,601,33.73,682939,412764,60.44,1272.77,5.27,20,2019,,,
B02257,Female,27,Bachelor's degree,Canadian-born,Married,2,Manual Labor,Self-employed,52860.16,5,8,24,Salaried,197000,91166.44,105833.56,79850.78,2,108700.16,0,667,32.34,952212,780709,81.99,1938.06,2.23,30,2015,,,
B02258,Male,27,Trades or apprenticeship certificate,Canadian-born,Divorced,0,Retail,Unemployed,143541.2,10,2,9,Hourly,309000,92879.18,216120.82,136419.18,2,102292.46,0,694,45.76,853819,795486,93.17,2010.73,8.72,15,2017,,,
B02259,Male,25,High school diploma or equivalent,Canadian-born,Married,1,Healthcare,Employed,29096.77,2,2,14,Contract,135000,39902.9,95097.1,64078.91,4,40881.47,0,731,37.26,641117,535962,83.6,1893.83,4.04,20,2018,,,
B02260,Male,33,Bachelor's degree,Canadian-born,Married,3,Finance,Employed,66959.2,8,4,5,Salaried,247000,145817.33,101182.67,50159.22,1,160724.9,0,728,40.78,1070172,802331,74.97,1613.88,2.37,25,2022,,,
B02261,Female,25,University certificate or diploma above a bachelor's degree,Canadian-born,Single,2,Finance,Unemployed,33550.53,3,1,17,Salaried,184000,91411.24,92588.76,32095.53,1,100469.8,0,715,42.05,753102,689585,91.57,2172.63,4.57,20,2024,,,
B02262,Female,33,University certificate or diploma below a bachelor's degree,Canadian-born,Single,0,Finance,Employed,53799.47,8,9,15,Salaried,249000,129617.95,119382.05,79652.26,1,138194.44,0,634,25.65,1088534,780529,71.7,2541.04,3.33,30,2022,,,
B02263,Female,25,College or CEGEP certificate or diploma,Canadian-born,Divorced,2,Education,Employed,29496.88,2,2,17,Salaried,156000,38286.76,117713.24,38217.06,3,40311.72,1,597,34.05,1122990,896470,79.83,1583.18,4.73,25,2017,,,
B02264,Male,26,University certificate or diploma below a bachelor's degree,Canadian-born,Married,2,Finance,Employed,101056.84,9,12,28,Salaried,309000,132135.71,176864.29,35946.84,1,139362.98,0,703,40.64,665966,458111,68.79,1168.08,8.04,25,2024,,,
B02265,Female,26,College or CEGEP certificate or diploma,Canadian-born,Married,0,Finance,Unemployed,22416.53,2,6,9,Salaried,151000,63789.84,87210.16,64410.61,2,79513.62,2,686,53.46,620411,405869,65.42,1434.44,4.9,30,2022,,,
B02266,Female,30,High school diploma or equivalent,Recent immigrant,Single,1,Finance,Employed,46932.67,4,4,13,Salaried,169000,61092.02,107907.98,32067.55,2,68709.81,1,816,10.87,749151,487012,65.01,1519.88,4.65,15,2020,,,
B02267,Female,31,Bachelor's degree,Recent immigrant,Divorced,0,Manual Labor,Unemployed,99628.9,9,8,16,Contract,254000,165936.63,88063.37,71201.16,3,169166.64,0,635,7.43,945567,775391,82,1766.07,3.96,25,2015,,,
B02268,Female,25,College or CEGEP certificate or diploma,Canadian-born,Married,1,Manual Labor,Employed,51946.49,6,23,32,Hourly,273000,76535.13,196464.87,111686.22,2,83653.7,0,604,18.22,728978,480090,65.86,1820.28,6.28,30,2017,,,
B02269,Male,27,College or CEGEP certificate or diploma,Canadian-born,Married,2,Manual Labor,Self-employed,173931.3,10,2,20,Salaried,320000,215368.99,104631.01,106467.41,4,229272.53,0,723,33.68,854025,790311,92.54,2163.82,5.31,25,2023,,,
B02270,Female,26,University certificate or diploma below a bachelor's degree,Canadian-born,Single,0,Other,Self-employed,32532.03,3,2,7,Contract,173000,43593.81,129406.19,85084.64,5,54086.24,1,683,23.64,742123,612242,82.5,2023.93,5.9,20,2021,,,
B02271,Male,32,Trades or apprenticeship certificate,Canadian-born,Married,0,Manual Labor,Self-employed,71243.15,8,3,14,Salaried,303000,88919.92,214080.08,131784.8,3,103700.7,1,657,12.86,733445,525856,71.7,1664.16,4.44,30,2024,,,
B02272,Male,33,College or CEGEP certificate or diploma,Long-term immigrant,Divorced,0,Healthcare,Employed,134261,10,4,14,Salaried,328000,169148.59,158851.41,142470.55,3,186856.84,1,602,14.74,770549,593106,76.97,763.65,7.53,30,2018,,,
B02273,Female,26,Bachelor's degree,Canadian-born,Divorced,4,Manufacturing,Employed,68415.88,7,4,18,Salaried,259000,141576.25,117423.75,108469.61,1,147425.4,0,658,40.41,872927,655913,75.14,911.75,4.77,30,2024,,,
B02274,Female,26,Trades or apprenticeship certificate,Canadian-born,Single,2,Tech,Employed,52296.42,6,4,23,Salaried,223000,174059.59,48940.41,89092.03,3,184028.37,0,653,11.84,1161192,731862,63.03,843.58,6.34,30,2020,,,
B02275,Female,34,Bachelor's degree,Canadian-born,Single,0,Retail,Employed,130955.28,10,8,21,Salaried,300000,169087.9,130912.1,99897.43,2,176317.05,0,736,31.29,908107,762681,83.99,2109.25,6.42,25,2010,,,
B02276,Female,33,College or CEGEP certificate or diploma,Canadian-born,Married,1,Construction,Employed,56253.76,7,3,14,Contract,271000,145886.94,125113.06,110992.14,2,153171.15,0,713,24.49,824369,728037,88.31,925.8,7.62,30,2013,,,
B02277,Female,28,University certificate or diploma above a bachelor's degree,Canadian-born,Single,0,Manual Labor,Self-employed,90203.22,9,1,19,Salaried,257000,80389.23,176610.77,88022.75,3,85830.31,1,703,62.16,752234,605874,80.54,1706.15,6.13,25,2016,,,
B02278,Female,29,University certificate or diploma above a bachelor's degree,Canadian-born,Married,2,Construction,Employed,156196.82,10,10,21,Salaried,322000,80982.88,241017.12,87680.88,1,92726.4,0,725,69.87,850733,688810,80.97,1633.39,3.87,15,2020,,,
B02279,Female,33,College or CEGEP certificate or diploma,Canadian-born,Single,1,Retail,Self-employed,15666.04,1,5,11,Hourly,84000,56625.84,27374.16,26108.17,3,61972.35,0,681,48.91,1018201,615448,60.44,1435.78,4.17,25,2016,,,
B02280,Male,30,Trades or apprenticeship certificate,Canadian-born,Single,4,Construction,Employed,79917.03,8,1,5,Hourly,236000,156744.56,79255.44,74938.06,1,163871.3,0,681,38.12,978791,701006,71.62,1628.29,5.83,30,2020,,,
B02281,Male,34,Bachelor's degree,Canadian-born,Married,0,Tech,Employed,86005.25,9,1,15,Salaried,280000,127169.41,152830.59,138326.82,5,128492.35,0,653,40.73,776333,535478,68.98,1129.18,4.29,25,2012,,,
B02282,Male,33,College or CEGEP certificate or diploma,Canadian-born,Married,2,Tech,Retired,74806,7,2,17,Hourly,272000,67132.31,204867.69,80043,4,82500.93,0,634,15.19,784941,734624,93.59,1155.42,4.02,25,2011,,,
B02283,Male,33,University certificate or diploma below a bachelor's degree,Canadian-born,Married,2,Tech,Employed,89835.64,9,1,11,Salaried,282000,137775.69,144224.31,114899.77,5,145685.35,0,705,9.66,895139,578445,64.62,1579.63,4.82,30,2016,,,
B02284,Male,31,High school diploma or equivalent,Canadian-born,Widowed,3,Other,Employed,123094.97,10,11,30,Hourly,297000,130852.84,166147.16,100361.62,2,142564.64,0,754,60.08,1000520,671204,67.09,842.68,5.41,30,2011,,,
B02285,Male,34,Bachelor's degree,Canadian-born,Single,1,Construction,Employed,57644.37,6,2,18,Hourly,207000,132720.13,74279.87,59772.43,5,149399.17,0,663,21.99,1021680,791574,77.48,1326,4.32,30,2018,,,
B02286,Male,33,College or CEGEP certificate or diploma,Canadian-born,Married,2,Education,Student,55873.44,6,6,11,Salaried,244000,132816.26,111183.74,110688.14,1,148750.15,0,675,15.59,819847,554585,67.65,1781.87,3.66,30,2016,,,
B02287,Female,29,College or CEGEP certificate or diploma,Canadian-born,Single,1,Education,Employed,35048.22,3,5,24,Salaried,169000,48115.52,120884.48,61524.77,1,56141.92,0,691,41.81,722116,487326,67.49,1873.5,4.58,30,2024,,,
B02288,Male,29,Master's degree,Long-term immigrant,Married,1,Manual Labor,Employed,143131.62,10,6,11,Salaried,300000,92055.46,207944.54,131220.22,4,99436.07,0,722,28,1029429,928427,90.19,1515.39,5.21,30,2021,,,
B02289,Male,32,College or CEGEP certificate or diploma,Canadian-born,Single,3,Manual Labor,Self-employed,23895.41,2,4,15,Salaried,174000,50299.56,123700.44,81025.59,0,0,0,725,13.57,1084024,695225,64.13,1644.13,5.09,25,2015,,,
B02290,Male,34,Bachelor's degree,Canadian-born,Single,3,Manual Labor,Student,63779,7,6,25,Salaried,212000,85052.17,126947.83,80487.46,3,90748.56,0,718,53.33,778791,637409,81.85,1580.71,4.4,20,2018,,,
B02291,Female,28,Bachelor's degree,Long-term immigrant,Single,2,Logistics,Employed,82855.15,8,4,11,Contract,292000,107441.27,184558.73,52551.12,1,121999.32,0,736,17.59,532796,493717,92.67,1437.48,4.07,30,2023,,,
B02292,Male,33,High school diploma or equivalent,Canadian-born,Single,1,Retail,Employed,48274.21,4,3,22,Salaried,153000,54344.28,98655.72,67673.55,3,63676.93,0,676,44.64,753134,460419,61.13,1787.16,4.01,30,2011,,,
B02293,Male,31,Bachelor's degree,Canadian-born,Divorced,3,Education,Unemployed,60257.89,7,9,13,Salaried,227000,106549.17,120450.83,31321.93,1,112720.28,0,711,19.9,821849,565063,68.76,2186.67,5.37,25,2012,,,
B02294,Female,31,College or CEGEP certificate or diploma,Canadian-born,Married,0,Construction,Employed,47714.23,6,3,13,Contract,237000,165373.26,71626.74,35269.47,3,178650.45,0,636,51.17,1043809,835617,80.05,814.43,4.63,25,2019,,,
B02295,Male,27,Bachelor's degree,Canadian-born,Widowed,0,Tech,Employed,158406.53,10,4,5,Salaried,315000,122216.17,192783.83,85960,1,134072.59,0,587,24.42,993168,636411,64.08,1383.97,5.68,25,2017,,,
B02296,Male,28,Bachelor's degree,Canadian-born,Married,2,Tech,Employed,125165.19,10,3,10,Salaried,312000,117408.95,194591.05,37582.44,3,120328.19,0,597,7.68,736807,595246,80.79,1609.32,3.62,25,2014,,,
B02297,Male,31,College or CEGEP certificate or diploma,Long-term immigrant,Single,0,Construction,Self-employed,62245.69,7,7,14,Hourly,236000,113100.42,122899.58,28166.38,3,125372.26,0,608,4.23,1264805,950371,75.14,1600.94,4.94,20,2011,,,
B02298,Male,29,College or CEGEP certificate or diploma,Canadian-born,Single,4,Healthcare,Employed,59653.83,7,4,11,Salaried,263000,102114.05,160885.95,130669.1,2,122681.34,0,731,53.89,1091271,777385,71.24,1888.26,6.23,25,2019,,,
B02299,Male,27,Bachelor's degree,Recent immigrant,Single,1,Retail,Unemployed,35613.7,3,3,19,Contract,175000,99084.66,75915.34,66759.72,2,109789.49,0,727,43.27,756226,561409,74.24,1918.25,4.44,25,2016,,,
B02300,Male,25,College or CEGEP certificate or diploma,Canadian-born,Single,1,Healthcare,Unemployed,53709.01,6,2,8,Hourly,248000,59668.65,188331.35,102060.23,3,73265.18,0,610,31.18,747204,679004,90.87,2036.14,3.99,15,2017,,,
B02301,Female,31,Bachelor's degree,Canadian-born,Married,2,Healthcare,Employed,70463.34,7,11,13,Contract,239000,80505.17,158494.83,106747.76,1,97656.91,0,770,37.65,1084090,889502,82.05,1641.44,4.44,15,2012,,,
B02302,Female,30,High school diploma or equivalent,Canadian-born,Married,2,Tech,Employed,69561.96,7,9,9,Salaried,253000,164600.19,88399.81,29221.75,2,179634.94,0,675,52.57,635312,524652,82.58,1368.42,5.07,20,2013,,,
B02303,Female,34,Bachelor's degree,Canadian-born,Single,1,Education,Employed,56506.33,7,3,7,Salaried,270000,194328.66,75671.34,73004.15,2,196362.68,0,630,56.44,753025,530429,70.44,957.44,7.14,30,2011,,,
B02304,Male,31,College or CEGEP certificate or diploma,Canadian-born,Single,0,Tech,Retired,30407.94,3,5,20,Salaried,199000,89968.83,109031.17,87798.39,2,90335.56,0,650,40.61,781581,611750,78.27,1119.55,4.85,20,2013,,,
B02305,Female,26,Bachelor's degree,Canadian-born,Single,2,Finance,Employed,37797.63,4,4,7,Salaried,170000,58253.27,111746.73,68306.2,2,72019.32,0,668,25.87,899078,622636,69.25,1551.29,5.84,25,2018,,,
B02306,Male,28,High school diploma or equivalent,Long-term immigrant,Single,1,Tech,Employed,60730.75,7,1,15,Salaried,218000,89815.46,128184.54,32479.07,0,0,0,683,15.29,806878,487377,60.4,1476.36,4.64,25,2021,,,
B02307,Male,26,College or CEGEP certificate or diploma,Canadian-born,Single,0,Manual Labor,Self-employed,60414.24,6,3,19,Hourly,201000,139570.88,61429.12,95555.61,4,143102.89,0,633,31.56,818394,582922,71.23,1091.84,6.82,30,2017,,,
B02308,Female,32,Bachelor's degree,Canadian-born,Married,2,Manufacturing,Unemployed,44051.01,4,9,25,Salaried,156000,89201.34,66798.66,67684.59,2,103964.08,0,672,25.57,734594,657056,89.44,1898.45,5.39,25,2012,,,
B02309,Male,31,Trades or apprenticeship certificate,Long-term immigrant,Single,0,Other,Self-employed,103298.22,9,8,20,Salaried,344000,134865.25,209134.75,89360.88,1,141040.69,0,685,15.48,1063812,953384,89.62,1751.12,5.91,25,2013,,,
B02310,Male,25,First professional degree,Canadian-born,Married,4,Tech,Employed,33496,3,1,11,Salaried,205000,136439.89,68560.11,97184.76,2,144805.26,0,750,8.37,1030099,809747,78.61,1690.7,4.71,25,2020,,,
B02311,Female,26,Bachelor's degree,Canadian-born,Single,2,Manufacturing,Employed,14259.78,1,1,16,Hourly,124000,55852.99,68147.01,52474.34,2,62987.57,1,744,17.71,1043941,787005,75.39,1454.39,6.58,20,2021,,,
B02312,Female,26,University certificate or diploma above a bachelor's degree,Canadian-born,Single,4,Construction,Employed,74560.03,8,9,12,Salaried,243000,69437.55,173562.45,38115.28,1,88301.48,0,668,46.27,894950,726236,81.15,1657.93,7.7,20,2016,,,
B02313,Female,28,College or CEGEP certificate or diploma,Canadian-born,Married,1,Education,Employed,29637.36,3,11,25,Hourly,159000,46968.31,112031.69,39944.8,1,50730.63,1,732,10.45,717618,526905,73.42,1810.67,5.78,20,2019,,,
B02314,Female,27,High school diploma or equivalent,Long-term immigrant,Married,4,Healthcare,Employed,28550.18,2,2,13,Contract,145000,114570.14,30429.86,36918.62,5,121092.08,0,692,12.59,837360,531578,63.48,1482.73,4.51,30,2015,,,
B02315,Female,25,University certificate or diploma below a bachelor's degree,Recent immigrant,Single,0,Finance,Employed,33794.27,3,2,15,Salaried,128000,41152,86848,60730.45,5,53782.24,1,686,27.64,920282,824448,89.59,1360.89,6.19,30,2023,,,
B02316,Male,26,College or CEGEP certificate or diploma,Canadian-born,Divorced,0,Retail,Employed,164602.67,10,2,14,Contract,303000,224528.68,78471.32,86782.53,3,230338.55,0,636,44.37,844023,758187,89.83,1101.48,6.18,25,2019,,,
B02317,Male,33,College or CEGEP certificate or diploma,Canadian-born,Single,0,Manual Labor,Self-employed,35132.77,3,1,9,Salaried,172000,116183.42,55816.58,52232.82,3,134493.26,0,719,34.23,1061732,763215,71.88,1638.07,4.04,25,2009,,,
B02318,Male,25,Bachelor's degree,Canadian-born,Single,1,Tech,Employed,165520.28,10,7,21,Salaried,286000,118288.1,167711.9,47225.7,1,128562.84,0,714,14.62,975698,838163,85.9,1346.72,6.13,25,2017,,,
B02319,Male,33,Bachelor's degree,Canadian-born,Married,0,Other,Employed,143604.05,10,3,18,Contract,297000,122827.15,174172.85,61228.99,3,137623.77,0,601,19.89,846758,721046,85.15,2221.43,5.98,30,2012,,,
B02320,Male,31,"No certificate, diploma or degree",Canadian-born,Married,1,Construction,Student,147965.23,10,9,18,Salaried,317000,185274.23,131725.77,67253.37,4,196502.86,1,651,36.81,664094,408259,61.48,1729.66,6.38,25,2014,,,
B02321,Female,26,Bachelor's degree,Canadian-born,Single,1,Finance,Self-employed,77956.08,8,10,14,Salaried,264000,116960.05,147039.95,115205.69,3,128222.95,0,706,25.31,845953,714549,84.47,2192.93,5.42,20,2018,,,
B02322,Female,26,College or CEGEP certificate or diploma,Canadian-born,Single,1,Tech,Employed,36117.54,4,11,21,Salaried,167000,45432.34,121567.66,43417.72,2,60774.07,0,648,12.49,1159616,874462,75.41,1511.95,5.7,20,2019,,,
B02323,Female,29,University certificate or diploma below a bachelor's degree,Recent immigrant,Divorced,2,Other,Unemployed,156561.77,10,8,13,Hourly,303000,234671.42,68328.58,74990.32,1,247786.03,0,763,32.55,940954,753873,80.12,808.81,2.58,30,2023,,,
B02324,Male,29,College or CEGEP certificate or diploma,Canadian-born,Single,0,Tech,Employed,80680.38,8,7,17,Salaried,292000,127131.98,164868.02,94401.94,2,143721.83,2,627,39.85,970276,872879,89.96,1694.19,5.24,20,2024,,,
B02325,Female,28,College or CEGEP certificate or diploma,Canadian-born,Single,2,Tech,Employed,75376.13,8,3,4,Hourly,292000,105022.63,186977.37,59126.84,4,113565.55,0,625,12.87,686947,576065,83.86,2120.21,3.85,20,2016,,,
B02326,Female,34,Bachelor's degree,Long-term immigrant,Married,2,Manual Labor,Employed,64361.27,8,1,19,Hourly,241000,60533.32,180466.68,28339.5,1,72151.03,1,717,35.25,1031185,708565,68.71,2075.3,5.02,15,2012,,,
B02327,Female,34,Bachelor's degree,Canadian-born,Divorced,3,Logistics,Self-employed,35478.52,4,1,15,Contract,210000,109985.86,100014.14,66942.68,2,110701.05,0,660,34.29,943709,721488,76.45,1487.58,4.75,25,2011,,,
B02328,Male,27,College or CEGEP certificate or diploma,Canadian-born,Single,1,Construction,Retired,55572.04,6,4,15,Salaried,217000,98491.74,118508.26,54418.32,1,102688.43,0,636,7.64,763901,573344,75.05,1175.53,7.23,30,2023,,,
B02329,Female,28,Bachelor's degree,Canadian-born,Married,4,Education,Employed,149844.9,10,3,9,Salaried,309000,235778.01,73221.99,88437.83,1,241465.02,0,672,26.59,837833,773120,92.28,801.29,3.65,25,2024,,,
B02330,Male,34,Trades or apprenticeship certificate,Recent immigrant,Married,2,Healthcare,Employed,138857.06,10,8,13,Salaried,318000,68240.76,249759.24,115991.46,0,0,0,714,29.05,835880,723144,86.51,728.1,3.57,20,2015,,,
B02331,Male,28,University certificate or diploma above a bachelor's degree,Canadian-born,Married,4,Tech,Employed,58955.91,6,4,14,Salaried,191000,147536.59,43463.41,85645.75,5,159287.76,0,770,30.57,1053309,649251,61.64,1395.19,2.89,25,2016,,,
B02332,Male,26,Bachelor's degree,Canadian-born,Married,0,Finance,Employed,158504.14,10,1,4,Salaried,307000,224343.61,82656.39,70642.45,4,228462.89,0,721,23.82,1132137,1066061,94.16,759.28,4.73,30,2021,,,
B02333,Female,29,Bachelor's degree,Canadian-born,Widowed,2,Tech,Unemployed,30741.01,2,3,16,Salaried,166000,75921.7,90078.3,74998.07,1,86440.25,2,748,33.4,865039,525441,60.74,1183.82,4.36,25,2022,,,
B02334,Female,29,College or CEGEP certificate or diploma,Canadian-born,Single,3,Manual Labor,Employed,61016.22,6,8,17,Contract,224000,102438.01,121561.99,79236.41,1,112613.71,0,685,60.9,1059259,958869,90.52,1503.78,6.12,15,2019,,,
B02335,Male,29,Trades or apprenticeship certificate,Canadian-born,Single,0,Tech,Employed,79967.18,8,9,23,Salaried,267000,116650.87,150349.13,127003.12,2,126667.6,0,698,34.77,759695,550596,72.48,1076.28,5.25,30,2016,,,
B02336,Male,34,College or CEGEP certificate or diploma,Canadian-born,Divorced,2,Construction,Employed,93009.51,9,1,4,Salaried,299000,115152.42,183847.58,96516.53,2,125950.64,0,731,35,865989,543069,62.71,2016.33,2.87,30,2013,,,
B02337,Male,25,College or CEGEP certificate or diploma,Canadian-born,Married,3,Logistics,Employed,145924.21,10,1,13,Salaried,295000,184932.2,110067.8,118567.59,3,195514.84,0,718,27.69,770820,480499,62.34,1821.01,5.01,20,2024,,,
B02338,Male,30,College or CEGEP certificate or diploma,Canadian-born,Married,2,Healthcare,Employed,93702.35,9,3,10,Salaried,282000,176826.36,105173.64,32525.6,2,196575.61,0,730,34.84,981324,866467,88.3,2338.03,3.06,20,2021,,,
B02339,Male,26,Trades or apprenticeship certificate,Canadian-born,Married,0,Manufacturing,Employed,94238.56,9,1,8,Salaried,288000,101587.94,186412.06,35476.17,3,112112.91,0,680,48.08,724873,522414,72.07,2992.98,3.88,30,2023,,,
B02340,Male,31,Bachelor's degree,Canadian-born,Married,2,Manual Labor,Employed,186745.81,10,6,18,Salaried,310000,138572.03,171427.97,41709.49,2,147953.8,0,622,38.42,970849,660939,68.08,1328.57,3.26,30,2020,,,
B02341,Female,28,High school diploma or equivalent,Canadian-born,Married,0,Other,Self-employed,74001.46,8,3,13,Salaried,250000,74823.95,175176.05,111712.31,2,77042.06,1,621,23.48,898782,777488,86.5,1493.43,4.57,30,2015,,,
B02342,Male,29,First professional degree,Long-term immigrant,Divorced,3,Tech,Employed,12413.65,1,1,5,Salaried,142000,99378.29,42621.71,23814.79,1,102442.42,0,674,3.54,833496,523802,62.84,1612.81,5.78,20,2013,,,
B02343,Male,29,High school diploma or equivalent,Long-term immigrant,Married,0,Logistics,Employed,66749.02,8,1,18,Salaried,247000,88563.09,158436.91,43949.19,2,105259.9,0,609,18.35,929089,650683,70.03,1879.3,6.1,25,2024,,,
B02344,Male,29,Master's degree,Canadian-born,Single,0,Finance,Employed,99217.51,9,12,29,Hourly,267000,158775.94,108224.06,33374.18,2,173200.35,1,670,10.86,846018,578720,68.41,1484.17,6.72,15,2019,,,
B02345,Female,26,Master's degree,Canadian-born,Married,0,Tech,Employed,143150.93,10,1,2,Salaried,301000,221642.15,79357.85,134186.13,2,236314.26,0,656,6.4,1233606,872566,70.73,2307.01,5.63,30,2021,,,
B02346,Female,29,College or CEGEP certificate or diploma,Canadian-born,Married,2,Retail,Employed,63130.96,7,1,15,Contract,258000,102077.27,155922.73,34722.6,1,119166.27,1,696,27.51,672840,456686,67.87,2224.72,4.45,25,2020,,,
B02347,Female,27,Master's degree,Recent immigrant,Married,4,Retail,Employed,29494.86,2,2,6,Salaried,119000,74070.32,44929.68,44209.21,3,86406.73,0,798,19.31,984012,657507,66.82,822.98,6.79,20,2024,,,
B02348,Male,28,University certificate or diploma above a bachelor's degree,Long-term immigrant,Married,0,Manufacturing,Unemployed,39247.88,3,1,20,Salaried,155000,90170.37,64829.63,37665.94,3,109176.22,0,651,23.7,1076700,766675,71.21,1693.41,4.8,25,2016,,,
B02349,Female,26,High school diploma or equivalent,Canadian-born,Single,0,Manual Labor,Employed,145261.03,10,5,8,Salaried,282000,135371.71,146628.29,60901.14,3,140158.84,0,666,22.22,931009,708335,76.08,1713.82,6.07,30,2022,,,
B02350,Male,28,Master's degree,Recent immigrant,Married,1,Logistics,Employed,157384.71,10,2,9,Salaried,293000,199050.46,93949.54,125482.52,3,200834.21,0,665,29.56,746637,539296,72.23,1172.97,6.57,20,2018,,,
B02351,Female,33,High school diploma or equivalent,Long-term immigrant,Married,3,Manufacturing,Employed,59197.36,5,3,20,Salaried,185000,117605.24,67394.76,45078.76,0,0,0,677,40.46,1133967,1040792,91.78,1100.25,4.34,30,2023,,,
B02352,Female,32,High school diploma or equivalent,Long-term immigrant,Married,1,Healthcare,Employed,97452.56,9,9,23,Salaried,281000,176660.94,104339.06,31191.11,2,188262.89,0,599,9.88,577066,546844,94.76,2678.86,6.19,25,2017,,,
B02353,Female,27,University certificate or diploma below a bachelor's degree,Canadian-born,Married,1,Healthcare,Employed,64621.12,7,8,19,Salaried,206000,119904.82,86095.18,37365.28,1,131978.33,0,677,24.98,889278,558475,62.8,1211.89,5.92,25,2016,,,
B02354,Female,25,High school diploma or equivalent,Long-term immigrant,Single,2,Finance,Employed,84905.27,8,1,7,Salaried,273000,90544.6,182455.4,73648.22,3,106221.33,0,793,11.91,811997,606758,74.72,1340.56,5.54,20,2022,,,
B02355,Female,25,High school diploma or equivalent,Long-term immigrant,Married,0,Other,Employed,26220.68,2,1,16,Salaried,158000,118918.32,39081.68,22629.36,1,128988.27,0,782,4.72,1298720,835953,64.37,858.29,7.55,20,2019,,,
B02356,Male,30,Master's degree,Canadian-born,Married,1,Retail,Retired,121637.5,10,5,12,Salaried,275000,113398.33,161601.67,39095.93,0,0,0,684,15.53,779256,691844,88.78,1944.55,4.76,15,2023,,,
B02357,Female,27,Doctoral degree,Recent immigrant,Married,1,Manufacturing,Employed,57367.82,7,2,15,Contract,241000,167345.9,73654.1,44248.15,2,176773.25,0,731,2.58,667930,567235,84.92,1486.66,3.72,25,2021,,,
B02358,Male,28,Bachelor's degree,Canadian-born,Married,3,Healthcare,Employed,134244.04,10,7,25,Salaried,323000,190312.07,132687.93,102116.05,1,196080.46,0,677,32.67,748888,619823,82.77,1441.52,5.03,20,2016,,,
B02359,Female,25,College or CEGEP certificate or diploma,Canadian-born,Married,3,Construction,Employed,66769.26,8,3,20,Salaried,232000,90271.19,141728.81,88945.35,4,101975.29,0,684,8.31,1010283,701464,69.43,1163.5,4.9,25,2017,,,
B02360,Male,32,Master's degree,Canadian-born,Single,2,Healthcare,Employed,142288.27,10,1,8,Salaried,337000,249899.98,87100.02,122895.94,2,263206.94,0,722,20.58,1223271,912591,74.6,1986.58,5.65,30,2019,,,
B02361,Male,25,High school diploma or equivalent,Canadian-born,Married,1,Manual Labor,Employed,94909.06,9,17,32,Salaried,287000,73704.08,213295.92,29172.93,0,0,0,675,60.73,789868,715467,90.58,2208.17,3.56,25,2022,,,
B02362,Male,29,Master's degree,Long-term immigrant,Single,1,Education,Self-employed,67590.6,6,1,9,Salaried,206000,115038.84,90961.16,57511.54,4,124845.67,0,758,50.2,809618,619260,76.49,1499.42,6.43,30,2020,,,
B02363,Male,30,College or CEGEP certificate or diploma,Canadian-born,Married,0,Construction,Employed,72215.46,8,1,1,Contract,249000,147569.1,101430.9,68461.12,1,154960.45,1,588,31.98,848580,615963,72.59,857.08,4.31,30,2017,,,
B02364,Male,26,University certificate or diploma above a bachelor's degree,Canadian-born,Single,2,Tech,Employed,153379.92,10,8,15,Hourly,304000,192175.25,111824.75,57657.87,2,197603.6,0,640,23.32,1033604,885607,85.68,1335.04,5,30,2023,,,
B02365,Female,31,Bachelor's degree,Canadian-born,Single,2,Manual Labor,Employed,51124.58,5,3,9,Hourly,198000,108882.87,89117.13,66969.99,1,122295.52,0,705,33.66,806829,519423,64.38,1828.49,3.57,20,2015,,,
B02366,Male,31,Master's degree,Canadian-born,Married,3,Manufacturing,Self-employed,147418.11,10,13,20,Salaried,313000,97590.43,215409.57,63567.45,2,103287.09,0,613,21.87,954449,862348,90.35,1301.8,6.29,25,2012,,,
B02367,Male,25,University certificate or diploma above a bachelor's degree,Canadian-born,Married,0,Manual Labor,Self-employed,105822.32,9,1,13,Salaried,270000,152788.9,117211.1,133836.33,3,157926.82,0,629,17.61,813557,625137,76.84,1593.87,4.35,20,2019,,,
B02368,Female,28,First professional degree,Canadian-born,Married,2,Finance,Employed,17316.63,1,1,3,Salaried,109000,68861.41,40138.59,41185.38,1,79767.9,0,678,16.83,850253,599371,70.49,1551.73,4.33,20,2014,,,
B02369,Male,28,Bachelor's degree,Canadian-born,Married,2,Finance,Employed,127302.91,10,1,2,Hourly,305000,216655.86,88344.14,142362.76,1,221879.63,0,570,21.66,812383,652686,80.34,2010.35,5.71,25,2023,,,
